Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
Repositorios Digitales Uniandes,igjz.mnjgjs,igjz,gdccco,9987,40%,6%,6%,0%,13%,13%,0%,,,,
Cell Annotation Platform,harvardu.cap,harvardu,gdccco,178,47%,0%,6%,0%,13%,13%,0%,,,,
Brain Data Science Platform,mit.bdsp,mit,gdccco,86,47%,0%,6%,0%,13%,13%,0%,,,,
UNC RENCI,gdcc.odum-renci,gdcc,gdccco,68,37%,7%,6%,0%,13%,13%,0%,,,,
The Digital Archeological Record (tDAR),asu.tdar,asu,gdccco,10000,34%,1%,6%,0%,10%,10%,0%,,,,
Datasets,wqoh.fhpxxq,wqoh,ggbc,61,54%,48%,11%,10%,32%,,,,,,
ERSA Working Paper Series,wrbn.wduzms,wrbn,ggbc,292,56%,16%,17%,10%,25%,25%,0%,,,,
Publications,wqoh.rpfnqr,wqoh,ggbc,9,53%,28%,6%,0%,23%,23%,0%,,,,
UbuntuNet Alliance,crui.ubuntu,crui,ggbc,665,51%,12%,9%,6%,20%,20%,0%,,,,
National Academic Digital Repository of Ethiopia,crui.ethernet,crui,ggbc,10000,51%,7%,10%,10%,19%,18%,1%,,,,
DspaceDOIRepository,lfvh.zatlun,lfvh,ggbc,883,40%,25%,6%,0%,19%,19%,0%,,,,
AfricArXiv,eqhh.hgpcvf,eqhh,ggbc,1689,46%,8%,11%,0%,17%,17%,0%,,,,
pub H-BRS - Publikationsserver der Hochschule Bonn-Rhein-Sieg,tib.hbrs,tib,hbzco,274,77%,52%,22%,10%,43%,43%,0%,,,,
USB Radar,tdje.radar,tdje,hbzco,8,73%,35%,28%,33%,42%,42%,0%,,,,
OPUS,ptzh.opus,ptzh,hbzco,1,67%,50%,22%,0%,38%,,,,,,
PublicData,nzif.jpxazq,nzif,hbzco,6,63%,42%,18%,8%,34%,34%,0%,,,,
ePublications,aksx.epub,aksx,hbzco,191,69%,17%,22%,10%,30%,30%,0%,,,,
Societies under German Occupation - Experiences and Everyday Life in World War II,nzif.dohwvd,nzif,hbzco,576,74%,34%,6%,0%,30%,31%,-2%,,,,
HochschulRepositoriumimWesten,gghv.qiszof,gghv,hbzco,10,67%,17%,22%,10%,30%,30%,0%,,,,
Cologne Open Science,aksx.cos,aksx,hbzco,69,66%,16%,22%,10%,29%,29%,0%,,,,
bonndoc,bxbq.ulbrfz,bxbq,hbzco,807,63%,22%,18%,9%,29%,28%,1%,,,,
Hochschule Bielefeld Publikationsserver,iwfh.pub,iwfh,hbzco,90,53%,21%,28%,6%,29%,28%,0%,,,,
OPUS ELBA (BASt),djcg.wwacuc,djcg,hbzco,195,55%,37%,11%,0%,28%,27%,1%,,,,
HSNR_ePublish,ddbj.odcatb,ddbj,hbzco,7,53%,21%,22%,10%,27%,,,,,,
"DuEPublico, Universitätsbibliothek Duisburg-Essen",tib.ubde,tib,hbzco,6969,57%,25%,15%,3%,26%,26%,1%,,,,
FH Münster,tib.fhms,tib,hbzco,695,59%,15%,20%,9%,26%,26%,0%,,,,
OPUS HfM Detmold,ekrw.shzokc,ekrw,hbzco,35,60%,11%,22%,10%,26%,26%,0%,,,,
Publikationsserver der FH Südwestfalen,pkye.frsrzl,pkye,hbzco,455,54%,27%,17%,1%,26%,26%,0%,,,,
bonndata,bxbq.udhdyc,bxbq,hbzco,5399,50%,12%,28%,10%,26%,24%,2%,,,,
University Library Hagen (UB Hagen),gesis.ubhg,gesis,hbzco,622,58%,20%,17%,2%,26%,25%,0%,,,,
Hochschule Düsseldorf,tib.hsd,tib,hbzco,247,60%,20%,11%,8%,25%,25%,0%,,,,
Zeitschrift für angewandte Kunststofftechnik,iwfh.zak,iwfh,hbzco,6,60%,19%,11%,10%,25%,25%,0%,,,,
Dialoge über Gestaltung,iwfh.dg,iwfh,hbzco,12,53%,19%,17%,10%,25%,,,,,,
Universitäts- und Landesbibliothek Münster,tib.ulbms,tib,hbzco,9891,51%,24%,14%,6%,25%,26%,-1%,,,,
Repository THGA,tmej.jdeksr,tmej,hbzco,20,53%,20%,14%,9%,25%,24%,0%,,,,
PUB - Publications at Bielefeld University,tib.unibi,tib,hbzco,7347,51%,19%,18%,7%,25%,24%,1%,,,,
Journal of Virtual Reality and Broadcasting,ujya.onmdgk,ujya,hbzco,5,61%,18%,8%,10%,24%,24%,0%,,,,
Institute of Sociology at the University of Duisburg-Essen,gesis.ude,gesis,hbzco,17,66%,13%,11%,3%,24%,24%,0%,,,,
hbz Consortium Organisation - Test Repository,eblj.clpibt,eblj,hbzco,5,52%,22%,11%,8%,24%,24%,0%,,,,
Technische Universität Dortmund,tib.tudo,tib,hbzco,10000,57%,16%,17%,0%,24%,24%,0%,,,,
BieJournals,oexl.gjhybo,oexl,hbzco,2564,45%,21%,15%,10%,24%,24%,0%,,,,
International Journal of Language and Law (JLL),gesis.jll,gesis,hbzco,98,51%,20%,12%,10%,23%,23%,0%,,,,
Hagen University Press,stiy.fvbahh,stiy,hbzco,119,51%,19%,13%,6%,23%,23%,0%,,,,
Logistics Journal,tib.lj-red,tib,hbzco,671,59%,17%,7%,10%,23%,23%,0%,,,,
Fachbereich Maschinenbau,tzfj.yosuqf,tzfj,hbzco,37,55%,26%,6%,0%,23%,23%,0%,,,,
HHU Journals,ubvy.journals,ubvy,hbzco,478,47%,20%,12%,6%,22%,22%,0%,,,,
Käte Hamburger Kolleg/Center for Global Cooperation Research,gesis.gcr21,gesis,hbzco,52,61%,11%,9%,5%,22%,22%,0%,,,,
HHU FDM,tib.hhu,tib,hbzco,195,48%,14%,15%,8%,22%,22%,0%,,,,
Human Resource Management Whitepaper,iwfh.hrmw,iwfh,hbzco,5,48%,17%,11%,10%,22%,22%,0%,,,,
NNA - Notas de Antropología de las Américas,bxbq.hjljbm,bxbq,hbzco,85,48%,12%,18%,5%,22%,,,,,,
"WWU Münster, Cells in Motion Interfaculty Centre",odry.omero,odry,hbzco,19,42%,25%,11%,0%,21%,26%,-5%,,,,
Open Journal Systems,iwfh.ojshsbi,iwfh,hbzco,6,43%,14%,16%,10%,21%,19%,2%,,,,
Paderborn University Library (Digitale Sammlungen),gesis.ub-pad,gesis,hbzco,2597,43%,20%,12%,5%,21%,20%,0%,,,,
Universitätsbibliothek Siegen,tib.siegen,tib,hbzco,1074,53%,13%,11%,0%,20%,21%,-1%,,,,
Bergische Universität Wuppertal,tib.buw,tib,hbzco,786,45%,18%,10%,5%,20%,20%,0%,,,,
BBVG,iwfh.bbvg,iwfh,hbzco,2,47%,17%,8%,0%,19%,,,,,,
Gnomon - OJS University Bonn,bxbq.irxtwb,bxbq,hbzco,1,40%,17%,6%,10%,18%,18%,0%,,,,
Schriftenreihe des Westfälischen Energieinstituts,ptzh.srwei,ptzh,hbzco,1,40%,11%,11%,10%,18%,,,,,,
TH OWL,pzbm.skim,pzbm,hbzco,17,41%,19%,6%,1%,18%,17%,1%,,,,
Technische Hochschule Ostwestfalen-Lippe,tib.hsowl,tib,hbzco,10,46%,11%,9%,1%,17%,17%,0%,,,,
Digitale Sammlungen UniBi,oexl.wxkirb,oexl,hbzco,6086,40%,13%,11%,0%,17%,17%,0%,,,,
GestaltMatcher,bxbq.txpfca,bxbq,hbzco,59,47%,12%,6%,0%,17%,31%,-14%,,,,
"Institut f�r Wirtschaftsinformatik, Westf�lische Wilhelms-Universit�t M�nster",tib.astone,tib,hbzco,213,53%,6%,6%,0%,16%,16%,0%,,,,
"FH Aachen, Hochschulbibliothek",tib.fhbac,tib,hbzco,1254,45%,8%,6%,0%,15%,15%,0%,,,,
Phenoroam,bxbq.phenoroam,bxbq,hbzco,3,40%,11%,6%,0%,15%,15%,0%,,,,
HHU Books,ubvy.books,ubvy,hbzco,114,40%,11%,6%,0%,15%,15%,0%,,,,
Universitäts- und Stadtbibliothek Köln,zbmed.unikoeln,zbmed,hbzco,10000,40%,6%,6%,0%,13%,14%,0%,,,,
HHU Pubserv,ubvy.pubserv,ubvy,hbzco,1,40%,6%,6%,0%,13%,13%,0%,,,,
School of Pedagogical & Technological Education (A.S.PE.T.E.),heallink.aspete,heallink,hlco,1,60%,56%,6%,0%,33%,33%,0%,,,,
Foundation for Research and Technology (FORTH),heallink.forth,heallink,hlco,98,54%,47%,10%,4%,31%,28%,2%,,,,
Onassis Foundation Cavafy Archive,heallink.onassis,heallink,hlco,3035,60%,11%,28%,10%,28%,28%,0%,,,,
Technical University of Crete,heallink.tuc,heallink,hlco,10000,53%,17%,19%,10%,25%,16%,9%,,,,
Athens University of Economics & Business,heallink.aueb,heallink,hlco,9623,54%,14%,22%,8%,25%,,,,,,
University of the Aegean,heallink.aegean,heallink,hlco,9591,57%,17%,18%,4%,25%,22%,3%,,,,
Panteion University,heallink.panteion,heallink,hlco,10000,56%,13%,22%,0%,24%,20%,4%,,,,
University of Piraeus,heallink.unipi,heallink,hlco,4699,56%,8%,21%,8%,24%,24%,0%,,,,
University of Peloponnese,heallink.uop,heallink,hlco,2084,55%,8%,21%,8%,23%,23%,0%,,,,
University of West Attica,heallink.uniwa,heallink,hlco,8091,49%,7%,22%,10%,22%,22%,0%,,,,
University of Patras,heallink.upatras,heallink,hlco,3277,47%,22%,10%,4%,22%,22%,0%,,,,
International Hellenic University,heallink.ihu,heallink,hlco,56,46%,29%,6%,0%,22%,21%,0%,,,,
University of Thessaly,heallink.uth,heallink,hlco,10000,49%,10%,16%,10%,21%,21%,0%,,,,
Agricultural University of Athens,heallink.aua,heallink,hlco,3024,56%,18%,7%,1%,21%,,,,,,
University of Macedonia,heallink.uom,heallink,hlco,918,46%,22%,12%,1%,21%,21%,0%,,,,
University of Athens,heallink.uoa,heallink,hlco,148,47%,19%,9%,7%,21%,21%,0%,,,,
KALLIPOS REPOSITORY,kfsr.kallipos,kfsr,hlco,1120,52%,17%,10%,0%,21%,21%,0%,,,,
University of Crete,heallink.uoc,heallink,hlco,1121,50%,17%,12%,1%,21%,21%,0%,,,,
RAISE,emrw.raise,emrw,hlco,165,56%,12%,10%,0%,20%,,,,,,
National Technical University of Athens (NTUA),heallink.ntua,heallink,hlco,10000,45%,10%,18%,2%,20%,20%,0%,,,,
Democritus University of Thrace,heallink.duthr,heallink,hlco,10000,40%,7%,17%,0%,17%,17%,0%,,,,
University of Ioannina,heallink.uoi,heallink,hlco,10000,40%,4%,17%,0%,16%,16%,0%,,,,
HEALLINK RESEARCH DATA REPOSITORY,heallink.datarep,heallink,hlco,35,41%,7%,6%,0%,14%,13%,1%,,,,
Grand Accélérateur National d’Ions Lourds,inist.ganil,inist,inistco,26,72%,60%,35%,38%,52%,51%,1%,,,,
Pôle THEIA - IR Data Terra,jbru.theia,jbru,inistco,5,72%,38%,26%,52%,45%,,,,,,
Ecole Normale Supérieure du Burundi,ens.prod,ens,inistco,7,67%,64%,21%,14%,44%,,,,,,
Autorité de Sûreté Nucléaire et de Radioprotection,irsn.prod,irsn,inistco,8,71%,60%,19%,18%,43%,42%,1%,,,,
COCOON,jbru.cocoon,jbru,inistco,10000,64%,44%,33%,23%,42%,38%,4%,,,,
Réseau sismologique et géodésique français,inist.resif,inist,inistco,102,74%,29%,44%,10%,41%,32%,10%,,,,
Ecole et Observatoire des Sciences de la Terre,inist.eost,inist,inistco,125,63%,44%,23%,37%,41%,41%,0%,,,,
Centre International de Rencontres Mathématiques,inist.cirm,inist,inistco,2873,73%,46%,28%,10%,41%,41%,0%,,,,
Fédération de recherche CIST - Collège international des sciences territoriales,jbru.cist,jbru,inistco,11,67%,57%,17%,10%,40%,39%,1%,,,,
"Laboratoire ATmosphères, Milieux, Observations Spatiales",inist.latmos,inist,inistco,27,79%,33%,22%,23%,39%,41%,-1%,,,,
Association Française de Zootechnie,inist.afz,inist,inistco,1,67%,56%,22%,0%,39%,39%,0%,,,,
Laboratoire d'Imagerie Médicale Multimodale,jbru.biomaps,jbru,inistco,1,73%,67%,6%,0%,39%,39%,0%,,,,
Centre Européen de Recherche et d’Enseignement   des Géosciences de l’Environnement,jbru.cerege,jbru,inistco,1,73%,44%,11%,30%,39%,39%,0%,,,,
Institut de Recherche en Génie Civil et Mécanique,jbru.gem,jbru,inistco,1,60%,56%,11%,30%,39%,39%,0%,,,,
Solid Spectroscopy Hosting Architecture of Databases and Expertise,inist.sshade,inist,inistco,582,78%,27%,35%,0%,38%,38%,0%,,,,
Association pour le Développement des Méthodologies d’Évaluation en Éducation - Europe,admee.prod,admee,inistco,71,65%,54%,13%,10%,37%,37%,0%,,,,
Université Bourgogne Europe et Université Marie & Louis Pasteur,inist.osutheta,inist,inistco,691,79%,22%,31%,7%,36%,35%,2%,,,,
"UMR 6240 Lieux, Identités, eSpaces et Activités",jbru.lisa,jbru,inistco,19,67%,45%,16%,10%,36%,37%,0%,,,,
Health Data Hub,hdh.prod,hdh,inistco,14,67%,48%,13%,5%,35%,43%,-7%,,,,
Computo,sfds.computo,sfds,inistco,21,66%,47%,11%,10%,35%,25%,10%,,,,
Observatoire de Physique du Globe de Clermont-Ferrand,inist.opgc,inist,inistco,47,67%,41%,13%,9%,34%,33%,1%,,,,
Observatoire de Paris,inist.obsparis,inist,inistco,99,59%,43%,17%,9%,34%,33%,0%,,,,
European Directorate for the Quality of Medicines and HealthCare,edqm.prod,edqm,inistco,2,60%,58%,6%,0%,34%,,,,,,
Réseau d'épidémiosurveillance en pathologie équine,respe.prod,respe,inistco,1,73%,39%,11%,0%,33%,,,,,,
PRESSES UNIVERSITAIRES DE GRENOBLE,pug.prod,pug,inistco,33,68%,32%,16%,9%,33%,33%,-1%,,,,
Direction des ressources et de l'information scientifique,vqpf.dris,vqpf,inistco,770,69%,48%,6%,0%,33%,32%,1%,,,,
Langues et civilisations à tradition orale,inist.lacito,inist,inistco,10000,62%,16%,37%,9%,33%,31%,1%,,,,
Laboratoire d'Archéologie et  Philologie d'Orient et d'Occident,jbru.aoroc,jbru,inistco,62,72%,35%,11%,9%,32%,33%,0%,,,,
European Migration Network,unlu.emn,unlu,inistco,7,62%,52%,6%,0%,32%,27%,5%,,,,
Callisto-formation (UNIT),jbru.unit,jbru,inistco,22,61%,31%,22%,10%,32%,32%,0%,,,,
Centre français des 3 R,jbru.fc3r,jbru,inistco,7,54%,51%,10%,3%,32%,24%,8%,,,,
Institut de Recherche en Informatique et Systèmes Aléatoires,inist.irisa,inist,inistco,4,62%,44%,7%,8%,32%,31%,1%,,,,
Université Paris Nanterre,upna.prod,upna,inistco,153,58%,52%,6%,0%,31%,32%,-1%,,,,
Praxiling,jbru.prax,jbru,inistco,12,66%,16%,28%,10%,31%,27%,4%,,,,
SEANOE,euvi.seanoe,euvi,inistco,1879,67%,24%,17%,10%,30%,31%,0%,,,,
Observatoire des Sciences de l'Univers de Grenoble,inist.osug,inist,inistco,278,75%,6%,27%,11%,30%,30%,0%,,,,
Institut national de recherches archéologiques préventives,inist.inrap,inist,inistco,447,56%,34%,16%,10%,30%,29%,1%,,,,
"Centre National de Recherche Technologique ""Nickel et son environnement""",inist.cnrt,inist,inistco,77,61%,23%,22%,9%,30%,28%,1%,,,,
Cahiers de Biothérapie,cdb.prod,cdb,inistco,12,60%,29%,17%,9%,30%,29%,0%,,,,
"GROUPE  DE  RECHERCHE  EN  ART, LITTERATURES  D'EXPRESSION FRANCAISE, ANGLAISE  ET  HISPANIQUE",gralifah.prod,gralifah,inistco,14,56%,42%,10%,4%,30%,30%,0%,,,,
Université Gaston Berger,ugb.prod,ugb,inistco,284,51%,32%,19%,10%,29%,29%,0%,,,,
Association Française d’Histotechnologie,inist.afh,inist,inistco,101,59%,30%,21%,0%,29%,30%,0%,,,,
Laboratoire d'Excellence Dispositif de Recherche Interdisciplinaire sur les Interactions Hommes-Milieux,inist.driihm,inist,inistco,112,71%,33%,6%,1%,29%,29%,0%,,,,
Espaces et Sociétés,jbru.eso,jbru,inistco,281,63%,29%,11%,10%,29%,30%,-1%,,,,
Observatoire des Sciences de l'Environnement de Rennes,inist.osur,inist,inistco,13,64%,17%,21%,12%,29%,29%,0%,,,,
Comité Français des Barrages et Réservoirs,inist.cfbr,inist,inistco,257,71%,11%,22%,10%,29%,29%,0%,,,,
OpenEdition Center,jbru.openedit,jbru,inistco,10000,57%,21%,22%,10%,28%,28%,1%,,,,
NumeRev,inist.mshsud,inist,inistco,1556,51%,20%,16%,29%,28%,13%,15%,,,,
Archeovision,inist.av3ddh,inist,inistco,2082,69%,24%,11%,3%,28%,29%,-1%,,,,
CRYOSTEM,inist.cryostem,inist,inistco,5,67%,33%,6%,0%,28%,27%,1%,,,,
Presses Universitaires Savoie Mont Blanc,pusmb.prod,pusmb,inistco,242,60%,34%,11%,0%,28%,26%,2%,,,,
GEOTROPE,geotrope.prod,geotrope,inistco,61,58%,23%,16%,10%,28%,28%,-1%,,,,
NAKALA,inist.humanum,inist,inistco,10000,48%,17%,29%,10%,27%,27%,0%,,,,
"Direction de l’évaluation, de la prospective et de la performance",zjrp.depp,zjrp,inistco,713,59%,15%,22%,10%,27%,26%,1%,,,,
Université Clermont Auvergne,inist.bcu,inist,inistco,155,67%,11%,20%,10%,27%,27%,0%,,,,
École nationale supérieure des mines de Paris (Mines Paris - PSL),inist.minesp,inist,inistco,24,55%,33%,10%,3%,27%,27%,0%,,,,
Ascomycete.org,inist.ascoorg,inist,inistco,453,53%,18%,22%,10%,26%,26%,0%,,,,
European Synchrotron Radiation Facility,inist.esrf,inist,inistco,10000,70%,24%,7%,1%,26%,22%,4%,,,,
Strasbourg Astronomical Data Center,inist.cds,inist,inistco,10000,53%,23%,17%,10%,26%,26%,0%,,,,
Éditions et presses universitaires de Reims,inist.epure,inist,inistco,397,51%,29%,14%,7%,26%,26%,0%,,,,
Université de technologie de Compiègne,inist.utc,inist,inistco,581,58%,24%,12%,7%,26%,27%,-1%,,,,
RASS-PGPA,rasspgpa.cegpwr,rasspgpa,inistco,233,50%,30%,11%,9%,26%,26%,0%,,,,
Arts et Métiers Sciences et Technologies,ensam.prod,ensam,inistco,103,60%,18%,17%,3%,26%,26%,0%,,,,
Observatoire de Recherche Montpelliérain de l'Environnement,inist.oreme,inist,inistco,517,50%,27%,12%,10%,26%,25%,0%,,,,
IRD,inist.ird,inist,inistco,1284,63%,20%,15%,0%,26%,25%,1%,,,,
IFREMER Sample Repository,euvi.ifremerigsn,euvi,inistco,10000,65%,21%,11%,0%,25%,25%,0%,,,,
Akofena,ivory.akofena,ivory,inistco,3129,60%,14%,17%,10%,25%,25%,1%,,,,
Universit� Paris Diderot - Paris 7,inist.upd,inist,inistco,6,59%,19%,18%,0%,25%,25%,0%,,,,
Moriond,arisf.moriond,arisf,inistco,57,60%,29%,6%,0%,25%,25%,0%,,,,
Osuna,inist.osuna,inist,inistco,425,61%,27%,6%,1%,25%,23%,2%,,,,
Mercator Ocean International,jugt.yxcdej,jugt,inistco,379,59%,29%,6%,0%,25%,26%,-1%,,,,
ZIGLÔBITHA Revue des Arts Linguistique Littérature et Civilisations,zig.prod,zig,inistco,1063,60%,28%,6%,0%,25%,25%,0%,,,,
Université de Lille,inist.ulille,inist,inistco,1208,60%,17%,17%,0%,25%,25%,0%,,,,
EaSy Data,jbru.dataterra,jbru,inistco,101,73%,17%,6%,0%,25%,23%,2%,,,,
"Laboratoire Informatique, BioInformatique, Systèmes Complexes (Université Paris-Saclay)",kqzy.ibisc,kqzy,inistco,51,53%,33%,6%,0%,25%,22%,2%,,,,
Centre Camille Jullian – UMR 7299,inist.ccj,inist,inistco,364,51%,29%,8%,5%,25%,25%,0%,,,,
PERSYVAL-Lab : Pervasive Systems and Algorithms Lab,inist.persyval,inist,inistco,67,59%,13%,19%,2%,24%,24%,0%,,,,
DSA proceedings,ensam.srludx,ensam,inistco,79,53%,16%,16%,9%,24%,,,,,,
Bureau de Recherches Géologiques et Minières,inist.brgm,inist,inistco,41,70%,17%,6%,0%,24%,22%,2%,,,,
Ephemera,opie.ephemera,opie,inistco,32,51%,31%,7%,0%,24%,23%,1%,,,,
Images des mathématiques,jbru.idm,jbru,inistco,817,53%,20%,11%,10%,24%,24%,0%,,,,
Société zoologique de France,szf.prod,szf,inistco,13,58%,26%,6%,0%,24%,24%,0%,,,,
Normandie Université,inist.nu,inist,inistco,45,46%,25%,12%,10%,24%,24%,0%,,,,
"Psychologies, Genre et Société",pgs.prod,pgs,inistco,34,63%,22%,6%,0%,24%,24%,0%,,,,
"Littoral, Environnement, Télédétection, Géomatique",inist.letg,inist,inistco,108,64%,18%,9%,0%,24%,24%,0%,,,,
Centre expert contre la cybercriminalité français,inist.cecyf,inist,inistco,45,54%,18%,11%,10%,23%,23%,0%,,,,
Université de Strasbourg,inist.unistra,inist,inistco,179,48%,23%,11%,10%,23%,23%,0%,,,,
Laboratoire d’études et de recherche sur le monde anglophone,lerma.prod,lerma,inistco,122,46%,35%,6%,0%,23%,,,,,,
Environnement Ville Société,jbru.evs,jbru,inistco,16,58%,21%,10%,0%,23%,23%,0%,,,,
Integrated Data & Operation Center,inist.idoc,inist,inistco,94,55%,27%,6%,0%,23%,23%,0%,,,,
GEOgraphie De l'Environnement,inist.geode,inist,inistco,64,58%,24%,6%,0%,23%,23%,1%,,,,
Coll�ge de France,cdfr.cdf,cdfr,inistco,2,47%,28%,11%,0%,23%,23%,0%,,,,
Commissariat � lՎnergie atomique et aux �nergies alternatives,inist.cea,inist,inistco,11,58%,24%,6%,0%,23%,23%,0%,,,,
Société des Neurosciences,socneuro.prod,socneuro,inistco,95,47%,22%,11%,10%,23%,23%,0%,,,,
Laboratoire des Interactions Plantes-Microorganismes,inist.lipm,inist,inistco,75,48%,13%,19%,9%,23%,23%,0%,,,,
Centre de coopération internationale en recherche agronomique pour le développement,inist.cirad,inist,inistco,2320,55%,14%,14%,5%,23%,23%,0%,,,,
Universit� de Nouvelle-Cal�donie,inist.unc,inist,inistco,13,60%,22%,5%,0%,23%,23%,0%,,,,
Université de La Réunion,inist.ur,inist,inistco,126,53%,21%,10%,2%,23%,23%,0%,,,,
OWEY,pasteur.prod,pasteur,inistco,24,51%,17%,17%,0%,23%,42%,-19%,,,,
Anthropologica et Praehistorica,srbap.prod,srbap,inistco,35,56%,14%,10%,9%,22%,22%,0%,,,,
Société francophone de médecine tropicale et santé internationale,inist.sfmtsi,inist,inistco,253,47%,21%,10%,8%,22%,22%,0%,,,,
Institut national d'études démographiques,ined.prod,ined,inistco,118,50%,21%,10%,4%,22%,23%,-1%,,,,
Association des Technologies et l'Information pour l'Education et la Formation,inist.atief,inist,inistco,120,64%,11%,10%,0%,22%,22%,0%,,,,
Centre Gilles Gaston Granger,jbru.cggg,jbru,inistco,79,43%,18%,14%,10%,22%,22%,0%,,,,
Observatoire Terre Environnement de Lorraine,inist.otelo,inist,inistco,200,57%,21%,6%,0%,22%,22%,0%,,,,
Université Gustave Eiffel research data,inist.ifsttar,inist,inistco,216,53%,13%,14%,3%,22%,22%,0%,,,,
Fondation Maison des sciences de l'homme,fmsh.prod,fmsh,inistco,10000,52%,14%,16%,0%,22%,22%,0%,,,,
Centre français de recherche aérospatiale - The French Aerospace Lab,inist.onera,inist,inistco,2895,52%,9%,21%,0%,21%,22%,0%,,,,
Unité mixte de recherche 8167 - Orient et Méditerranée,jbru.umr8167,jbru,inistco,207,40%,22%,11%,10%,21%,21%,0%,,,,
Observatoire Midi-Pyrénées,inist.omp,inist,inistco,410,55%,6%,17%,6%,21%,21%,0%,,,,
Centre de Recherche en Epidémiologie et StatistiqueS - UNIVERSITE PARIS CITE,cress.prod,cress,inistco,102,40%,33%,6%,0%,21%,,,,,,
Société Française d'Orthopédie Pédiatrique,inist.sofop,inist,inistco,94,67%,11%,6%,0%,21%,21%,0%,,,,
Université de Liège,ulg.prod,ulg,inistco,10000,53%,17%,11%,0%,21%,21%,0%,,,,
Centre d’Accès Sécurisé aux Données,inist.casd,inist,inistco,5570,53%,11%,11%,10%,21%,21%,0%,,,,
NATAGORA,natagora.prod,natagora,inistco,41,60%,17%,6%,0%,21%,21%,0%,,,,
Centre Interdisciplinaire d’Etude des Littératures d’Aix-Marseille,jbru.cielam,jbru,inistco,496,53%,6%,17%,10%,21%,21%,0%,,,,
Institut Supérieur de l'Aéronautique et de l'Espace,inist.isae,inist,inistco,1184,53%,16%,11%,1%,21%,21%,0%,,,,
Association française du froid,aff.prod,aff,inistco,38,48%,15%,16%,0%,21%,,,,,,
Association Française d'Etudes et de Recherches sur les Aérosols,inist.asfera,inist,inistco,380,65%,11%,6%,0%,21%,21%,0%,,,,
IsoArcH database,dcqw.isoarch,dcqw,inistco,181,59%,6%,11%,10%,21%,15%,6%,,,,
data.InDoRES,jbru.bbees,jbru,inistco,10000,53%,15%,11%,0%,21%,20%,0%,,,,
"Groupe de recherche EReD (Evaluer, Réguler et Différencier pour apprendre)",inist.efts,inist,inistco,75,53%,9%,11%,10%,21%,20%,0%,,,,
Association Universitaire de Génie Civil,inist.augc,inist,inistco,1618,47%,20%,11%,0%,21%,21%,0%,,,,
Centre de données de l'Institut de Physique du Globe de Paris,inist.ipgp,inist,inistco,275,55%,12%,12%,0%,21%,20%,0%,,,,
Association pour le Traitement Automatique des Langues,atala.prod,atala,inistco,27,44%,26%,7%,0%,21%,,,,,,
Faunitaxys,afcff.prod,afcff,inistco,401,54%,6%,18%,0%,20%,21%,0%,,,,
Société Marocaine de Rhumatologie,inist.smr,inist,inistco,524,65%,9%,6%,0%,20%,20%,0%,,,,
Institut Cochin,jbru.ic,jbru,inistco,13,44%,24%,6%,2%,20%,19%,1%,,,,
OQEI,cstb.oqei,cstb,inistco,7,48%,22%,6%,0%,20%,,,,,,
Société Française de Thermique,inist.sft,inist,inistco,504,60%,11%,6%,0%,20%,20%,0%,,,,
Quetelet-Progedo,inist.adisp,inist,inistco,1672,67%,6%,6%,0%,20%,20%,0%,,,,
LE STUDIUM,inist.lestudium,inist,inistco,112,46%,23%,6%,0%,20%,20%,0%,,,,
University of Luxembourg,inist.unilu,inist,inistco,1209,48%,13%,10%,5%,20%,20%,0%,,,,
Direction de la Documentation et de l'Edition de l'Université de Lorraine,inist.dde,inist,inistco,5286,51%,12%,11%,0%,19%,19%,0%,,,,
Institut Pierre-Simon Laplace,inist.ipsl,inist,inistco,721,51%,7%,11%,8%,19%,19%,0%,,,,
Data INRAE,inist.inra,inist,inistco,10000,51%,5%,16%,2%,19%,19%,1%,,,,
Société Ivoirienne de Microbiologie,inist.sim,inist,inistco,23,50%,17%,6%,0%,19%,19%,0%,,,,
INIST/CNRS Institut de l'Information Scientifique et Technique,inist.cnrs,inist,inistco,393,48%,15%,10%,0%,19%,19%,1%,,,,
Société française de médecine thermale,inist.sfmth,inist,inistco,259,44%,11%,16%,0%,19%,19%,0%,,,,
Institut Français de Recherche pour l'Exploitation de la Mer,inist.ifremer,inist,inistco,10000,55%,10%,8%,0%,19%,17%,2%,,,,
Calcul en Midi-Pyrénées,jbru.calmip,jbru,inistco,815,53%,8%,11%,0%,19%,19%,0%,,,,
Recherche Data Gouv France,rdg.prod,rdg,inistco,10000,50%,11%,11%,0%,19%,18%,0%,,,,
Soci�t� Fran�aise de Chirurgie Thoracique et Cardio-Vasculaire,inist.sfctcv,inist,inistco,90,56%,10%,6%,0%,18%,18%,0%,,,,
Martinia,opie.martinia,opie,inistco,31,54%,12%,6%,0%,18%,18%,0%,,,,
Institut de recherche et d'�tudes sur le monde arabe et musulman,inist.iremam,inist,inistco,11,53%,11%,6%,0%,18%,18%,0%,,,,
Écoles françaises à l’étranger,inist.efe,inist,inistco,10000,40%,6%,17%,10%,18%,18%,0%,,,,
ethnographiques.org,inist.ethnogra,inist,inistco,73,53%,11%,6%,0%,18%,18%,0%,,,,
